#t lex rand randsort randsortdesc randw randwnoh 
32218 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923142948.5
32219 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923187499.18
32220 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923232049.86
32221 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923276600.54
32222 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923321151.22
32223 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923365701.89
32224 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923410252.57
32225 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923454803.25
32226 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923499353.93
32227 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923543904.61
32228 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923588455.28
32229 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923633005.96
32230 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923677556.64
32231 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923722107.32
32232 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923766658.0
32233 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923811208.67
32234 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923855759.35
32235 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923900310.03
32236 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923944860.71
32237 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923989411.39
32238 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924033962.06
32239 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924078512.74
32240 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924123063.42
32241 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924167614.1
32242 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924212164.78
32243 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924256715.45
32244 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1924301266.13
