#t lex rand randsort randsortdesc randw randwnoh 
12944 635786936.133 664099661.197 846509885.66 552953022.188 574615080.676 459032143.941
12945 635794470.182 664132047.294 846555010.822 552960556.238 574647406.161 459039677.991
12946 635802004.232 664164433.392 846600135.984 552968090.287 574679731.646 459047212.04
12947 635809538.281 664196819.489 846645261.147 552975624.337 574712057.131 459054746.09
12948 635817072.331 664229205.586 846690386.309 552983158.386 574744382.616 459062280.139
12949 635824606.38 664261591.683 846735511.471 552990692.436 574776708.101 459069814.189
12950 635832140.43 664293977.78 846780636.634 552998226.485 574809033.586 459077348.238
12951 635839674.479 664326363.877 846825761.796 553005760.535 574841359.071 459084882.288
12952 635847208.529 664358749.974 846870886.958 553013294.584 574873684.555 459092416.337
12953 635854742.578 664391136.071 846916012.121 553020828.634 574906010.04 459099950.387
12954 635862276.628 664423522.168 846961137.283 553028362.683 574938335.525 459107484.436
12955 635869810.677 664455908.265 847006262.445 553035896.732 574970661.01 459115018.486
12956 635877344.727 664488294.363 847051387.608 553043430.782 575002986.495 459122552.535
12957 635884878.776 664520680.46 847096512.77 553050964.831 575035311.98 459130086.585
12958 635892412.826 664553066.557 847141637.932 553058498.881 575067637.465 459137620.634
12959 635899946.875 664585452.654 847186763.094 553066032.93 575099962.95 459145154.683
12960 635907480.925 664617838.751 847231888.257 553073566.98 575132288.434 459152688.733
12961 635915014.974 664650224.848 847277013.419 553081101.029 575164613.919 459160222.782
12962 635922549.023 664682610.945 847322138.581 553088635.079 575196939.404 459167756.832
12963 635930083.073 664714997.042 847367263.744 553096169.128 575229264.889 459175290.881
12964 635937617.122 664747383.139 847412388.906 553103703.178 575261590.374 459182824.931
12965 635945151.172 664779769.236 847457514.068 553111237.227 575293915.859 459190358.98
12966 635952685.221 664812155.334 847502639.231 553118771.277 575326241.344 459197893.03
12967 635960219.271 664844541.431 847547764.393 553126305.326 575358566.829 459205427.079
12968 635967753.32 664876927.528 847592889.555 553133839.376 575390892.313 459212961.129
12969 635975287.37 664909313.625 847638014.718 553141373.425 575423217.798 459220495.178
12970 635982821.419 664941699.722 847683139.88 553148907.475 575455543.283 459228029.228
12971 635990355.469 664974085.819 847728265.042 553156441.524 575487868.768 459235563.277
12972 635997889.518 665006471.916 847773390.204 553163975.574 575520194.253 459243097.327
12973 636005423.568 665038858.013 847818515.367 553171509.623 575552519.738 459250631.376
12974 636012957.617 665071244.11 847863640.529 553179043.673 575584845.223 459258165.426
12975 636020491.667 665103630.207 847908765.691 553186577.722 575617170.708 459265699.475
12976 636028025.716 665136016.305 847953890.854 553194111.772 575649496.192 459273233.525
12977 636035559.766 665168402.402 847999016.016 553201645.821 575681821.677 459280767.574
12978 636043093.815 665200788.499 848044141.178 553209179.871 575714147.162 459288301.624
12979 636050627.865 665233174.596 848089266.341 553216713.92 575746472.647 459295835.673
12980 636058161.914 665265560.693 848134391.503 553224247.969 575778798.132 459303369.723
12981 636065695.964 665297946.79 848179516.665 553231782.019 575811123.617 459310903.772
12982 636073230.013 665330332.887 848224641.828 553239316.068 575843449.102 459318437.822
12983 636080764.063 665362718.984 848269766.99 553246850.118 575875774.587 459325971.871
12984 636088298.112 665395105.081 848314892.152 553254384.167 575908100.071 459333505.921
12985 636095832.162 665427491.179 848360017.314 553261918.217 575940425.556 459341039.97
12986 636103366.211 665459877.276 848405142.477 553269452.266 575972751.041 459348574.019
12987 636110900.261 665492263.373 848450267.639 553276986.316 576005076.526 459356108.069
12988 636118434.31 665524649.47 848495392.801 553284520.365 576037402.011 459363642.118
12989 636125968.359 665557035.567 848540517.964 553292054.415 576069727.496 459371176.168
12990 636133502.409 665589421.664 848585643.126 553299588.464 576102052.981 459378710.217
12991 636141036.458 665621807.761 848630768.288 553307122.514 576134378.466 459386244.267
12992 636148570.508 665654193.858 848675893.451 553314656.563 576166703.95 459393778.316
12993 636156104.557 665686579.955 848721018.613 553322190.613 576199029.435 459401312.366
12994 636163638.607 665718966.052 848766143.775 553329724.662 576231354.92 459408846.415
12995 636171172.656 665751352.15 848811268.937 553337258.712 576263680.405 459416380.465
12996 636178706.706 665783738.247 848856394.1 553344792.761 576296005.89 459423914.514
12997 636186240.755 665816124.344 848901519.262 553352326.811 576328331.375 459431448.564
12998 636193774.805 665848510.441 848946644.424 553359860.86 576360656.86 459438982.613
12999 636201308.854 665880896.538 848991769.587 553367394.91 576392982.345 459446516.663
13000 636208842.904 665913282.635 849036894.749 553374928.959 576425307.829 459454050.712
13001 636216376.953 665945668.732 849082019.911 553382463.009 576457633.314 459461584.762
13002 636223911.003 665978054.829 849127145.074 553389997.058 576489958.799 459469118.811
13003 636231445.052 666010440.926 849172270.236 553397531.108 576522284.284 459476652.861
13004 636238979.102 666042827.023 849217395.398 553405065.157 576554609.769 459484186.91
13005 636246513.151 666075213.121 849262520.561 553412599.207 576586935.254 459491720.96
13006 636254047.201 666107599.218 849307645.723 553420133.256 576619260.739 459499255.009
13007 636261581.25 666139985.315 849352770.885 553427667.305 576651586.224 459506789.059
13008 636269115.3 666172371.412 849397896.047 553435201.355 576683911.708 459514323.108
13009 636276649.349 666204757.509 849443021.21 553442735.404 576716237.193 459521857.158
13010 636284183.399 666237143.606 849488146.372 553450269.454 576748562.678 459529391.207
13011 636291717.448 666269529.703 849533271.534 553457803.503 576780888.163 459536925.257
13012 636299251.498 666301915.8 849578396.697 553465337.553 576813213.648 459544459.306
13013 636306785.547 666334301.897 849623521.859 553472871.602 576845539.133 459551993.355
13014 636314319.596 666366687.994 849668647.021 553480405.652 576877864.618 459559527.405
13015 636321853.646 666399074.092 849713772.184 553487939.701 576910190.103 459567061.454
13016 636329387.695 666431460.189 849758897.346 553495473.751 576942515.587 459574595.504
13017 636336921.745 666463846.286 849804022.508 553503007.8 576974841.072 459582129.553
13018 636344455.794 666496232.383 849849147.671 553510541.85 577007166.557 459589663.603
13019 636351989.844 666528618.48 849894272.833 553518075.899 577039492.042 459597197.652
13020 636359523.893 666561004.577 849939397.995 553525609.949 577071817.527 459604731.702
13021 636367057.943 666593390.674 849984523.157 553533143.998 577104143.012 459612265.751
13022 636374591.992 666625776.771 850029648.32 553540678.048 577136468.497 459619799.801
13023 636382126.042 666658162.868 850074773.482 553548212.097 577168793.982 459627333.85
